level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM7,em7_m1_d3_wod,em7_m1,3,word_of_day,Ratio,em7_m1_s2,{}
EM7,em7_m1_d3_dt,em7_m1,3,dot_talk,Dot Talk #3,,{}
EM7,em7_m1_d3_curr1_main,em7_m1,3,curriculum_block,Serp Lesson: Day 1,em7_m1_s2,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d3_curr1_paper,em7_m1,3,curriculum_block,Intensity of Chocolate Milk #1,em7_m1_s2,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d3_mt,em7_m1,3,math_talk,Number Talk #3,em7_m1_s2,{}
EM7,em7_m1_d3_gm,em7_m1,3,growth_mindset,Lesson 3,,{}
EM7,em7_m1_d3_curr2_main,em7_m1,3,curriculum_block,Serp Lesson,em7_m1_s2,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d3_curr2_paper,em7_m1,3,curriculum_block,Intensity of Chocolate Milk #2,em7_m1_s2,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d3_curr3_main,em7_m1,3,curriculum_block,Serp Lesson,em7_m1_s2,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d3_curr3_paper,em7_m1,3,curriculum_block,Intensity of Chocolate Milk #3,em7_m1_s2,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d4_welcome,em7_m1,4,welcome,Which One Doesn't Belong? Day 4,,{}
EM7,em7_m1_d4_wod,em7_m1,4,word_of_day,Scale,em7_m1_s3,{}
EM7,em7_m1_d4_dt,em7_m1,4,dot_talk,Dot Talk #4,,{}
EM7,em7_m1_d4_curr1_main,em7_m1,4,curriculum_block,Serp Lesson: Day 2,em7_m1_s3,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d4_curr1_paper,em7_m1,4,curriculum_block,Intensity of Chocolate Milk,em7_m1_s3,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d4_mt,em7_m1,4,math_talk,Number Talk #4,em7_m1_s3,{}
EM7,em7_m1_d4_gm,em7_m1,4,growth_mindset,Lesson 4,,{}
EM7,em7_m1_d4_curr2_main,em7_m1,4,curriculum_block,FAL,em7_m1_s3,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d4_curr2_paper,em7_m1,4,curriculum_block,FAL: Pre Assessment,em7_m1_s3,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d4_curr3_main,em7_m1,4,curriculum_block,Reengagement,em7_m1_s3,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d4_curr3_paper,em7_m1,4,curriculum_block,"Drip, Drip, Drip",em7_m1_s3,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d5_welcome,em7_m1,5,welcome,Which One Doesn't Belong? Day 5,,{}
EM7,em7_m1_d5_wod,em7_m1,5,word_of_day,Scale Factor,em7_m1_s4,{}
EM7,em7_m1_d5_dt,em7_m1,5,dot_talk,Dot Talk #5,,{}
EM7,em7_m1_d5_curr1_main,em7_m1,5,curriculum_block,Launch & Task,em7_m1_s4,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d5_curr1_paper,em7_m1,5,curriculum_block,Mixing Paints,em7_m1_s4,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d5_mt,em7_m1,5,math_talk,Number Talk #5,em7_m1_s4,{}
EM7,em7_m1_d5_gm,em7_m1,5,growth_mindset,Lesson 5,,{}
EM7,em7_m1_d5_curr2_main,em7_m1,5,curriculum_block,Task and Reengagement,em7_m1_s4,"{""block_position"": ""curriculum_30_second""}"
